brand,model,body_type,energy,vehicle_price_eur,co2_mixed_g_km,fuel_consumption_l_100km,electric_range_km,max_power_kw,vehicle_weight_kg,eco_bonus_malus_eur,power_weight_ratio
FIAT,PANDA,berline,ess+elec hnr,12665,119.5,5.256,0.0,51.5,1002,Neutre 0,0.05139720558882235
ALFA ROMEO,GIULIA,berline,gazole,50883,142.1,5.422,0.0,140.0,1465,Malus,0.09556313993174062
MINI,MINI,ts terrains/chemins,essence,42588,158.5,6.961,0.0,131.0,1480,Malus,0.08851351351351351
MINI,MINI,break,essence,41400,153.3,6.736,0.0,131.0,1415,Malus,0.09257950530035336
FORD,TRANSIT CUSTOM,minibus,gaz+elec hnr,46811,276.16,10.528,0.0,95.6,2039,Malus,0.04688572829818538
KIA,NIRO,ts terrains/chemins,electric,39890,,0.0,289.0,0.0,1592,Bonus 6000,0.0
PORSCHE,TAYCAN TURBO S,berline,electric,165454,,0.0,375.0,0.0,2295,Neutre 0,0.0
TESLA,MODEL 3,berline,electric,53490,,0.0,491.0,0.0,1760,Bonus 2000,0.0
B.M.W.,SERIE 2,monospace compact,gazole,38888,140.4,5.359,0.0,110.0,1545,Malus,0.07119741100323625
B.M.W.,SERIE X,ts terrains/chemins,ess+elec hnr,63850,198.8,8.746,0.0,180.0,1815,Malus,0.09917355371900827
PEUGEOT,508,break,essence,43375,148.69,6.609,0.0,96.0,1420,Malus,0.0676056338028169
KIA,STONIC,ts terrains/chemins,essence,23390,133.0,5.854,0.0,73.5,1120,Neutre 0,0.065625
FIAT,PANDA,berline,ess+elec hnr,12910,126.31,5.541,0.0,51.5,970,Neutre 0,0.05309278350515464
TOYOTA,YARIS CROSS,ts terrains/chemins,ess+elec hnr,29600,117.19,5.171,0.0,68.0,1175,Neutre 0,0.05787234042553192
FORD,FIESTA,berline,superethanol,21340,137.55,8.399,0.0,69.9,1114,Neutre 0,0.06274685816876123
PEUGEOT,EXPERT TRAVELLER,minibus,electric,52450,,0.0,285.0,0.0,2092,Bonus 2000,0.0
MINI,MINI,berline,essence,36800,151.1,6.652,0.0,131.0,1225,Malus,0.10693877551020409
KIA,PICANTO,berline,essence,17173,127.0,5.603,0.0,61.8,908,Neutre 0,0.06806167400881057
VOLKSWAGEN,CADDY,combispace,gazole,41043,150.7,5.747,0.0,90.0,1646,Malus,0.054678007290400975
B.M.W.,SERIE 5,break,gaz+elec hnr,77588,174.2,6.653,0.0,250.0,1925,Malus,0.12987012987012986
